,shortest_processing_first,earliest_deadline_first,smallest_slack
489000,1020251,1552757,2630879
490000,1811978,2161796,1763176
491000,1789117,1825455,3235940
492000,999044,1752273,2011926
493000,951537,1638849,1740012
494000,1081003,1996738,1761756
495000,1530279,2120703,3092168
496000,1177936,2347191,2947675
497000,1328025,2140472,1931594
498000,1715403,1965077,1979154
499000,1249672,2180042,1912278
500000,1513170,1587584,1893151
501000,961424,1674446,1726978
502000,983846,1617020,1699871
503000,995690,1894276,1675842
504000,957423,2175115,1719590
505000,1275242,1723343,3115591
506000,1427726,1779616,2077281
507000,1602932,1929838,1770559
508000,1244576,2770048,1818632
509000,1100015,2160104,1871717
510000,990409,1741451,1972710
511000,1522005,1828639,2180558
512000,1062753,1779764,1780598
513000,2166670,2162625,1916941
514000,1536605,2090764,2139388
515000,1057847,1868496,2161589
516000,1005649,1748648,2017602
517000,985579,1767543,1669925
518000,946864,2360542,1631109
519000,969320,1873456,1730227
520000,1281343,1450486,2232915
521000,2086699,1051686,2646727
522000,1227300,1085219,3354499
523000,975862,1075179,3720640
524000,974124,1593330,2161430
525000,1074673,2438644,1739798
526000,1776825,2355896,1685971
527000,1209977,2563225,1824554
528000,1749519,1573275,3480437
529000,1948060,4303353,2140059
530000,1035800,1825314,1797736
531000,1116533,1110364,1636144
532000,1204285,1024024,2504107
533000,1668748,1103994,3061145
534000,2175714,4520401,1819000
535000,2256428,2750647,3144478
536000,1822704,1798255,3702853
537000,976714,4822504,2865187
538000,967812,1116285,1706368
539000,1157184,1044075,1937193
540000,1458152,1398531,3405773
541000,1554783,1720965,1731694
542000,2067676,2519478,1717456
543000,1034987,2172810,1947187
544000,1019912,2662405,3242069
545000,951423,2716126,1907540
546000,953164,5682049,1744922
547000,1020852,1171209,1645446
548000,1092965,989635,1841451
549000,1465846,1345236,2878678
550000,2278368,4049365,2012213
551000,1532796,979275,1655228
552000,977695,1097407,1736226
553000,949051,1415679,1805549
554000,997702,960459,2152720
555000,1539488,1012816,2244622
556000,1251801,1120108,2157485
557000,2127285,1423557,1868392
558000,2134668,1403157,1999726
559000,2280452,1695835,3938983
560000,1970216,2007619,1772166
561000,1647236,1718201,1661432
562000,1949549,1486743,1630928
563000,953448,1729312,2624385
564000,1012223,2144869,2689631
565000,1024522,2284463,1873885
566000,956138,1859064,1807766
567000,997609,1732255,2235358
568000,1255766,1878646,3179417
569000,1008320,1926072,1740051
570000,1078909,2188036,1670162
571000,1160109,1158992,3156251
572000,1703189,1020522,3803051
573000,1052501,953829,4262889
574000,1125296,1872898,3903429
575000,1116408,1509850,3504540
576000,1364869,1296537,3720717
577000,1130224,1013672,2849598
578000,2165347,1602103,3786948
579000,1464255,1674788,2771706
580000,1006273,1683989,2893646
581000,1065123,2026873,2133912
582000,1055476,1777134,1788064
583000,983513,1789148,2410899
584000,1357509,1817491,2963657
585000,1876110,1881723,2722813
586000,1846915,1953315,1867717
587000,965182,2061217,1643225
588000,947028,2288520,2321568
589000,963304,2266871,3522871
590000,989031,2005617,3681423
591000,1036567,1140786,3656438
592000,970867,1011272,2317839
593000,1788537,1002330,2088701
594000,1876132,942839,1929093
595000,960995,964186,2731180
596000,993805,1082007,3438812
597000,986517,1029292,1832513
598000,1313107,943494,1788300
599000,1575691,1403877,1936946
600000,1501878,1635650,2206201
601000,2424696,2255497,2061778
602000,1217033,1211540,2387535
603000,957692,2152376,2926301
604000,1252510,2185118,2750264
605000,1058703,2640077,1931385
606000,1152948,2243232,1746346
607000,1370626,1240949,2820454
608000,2120766,989553,3092209
609000,1363324,1025873,1959313
610000,1053885,1114729,1831394
611000,954172,1453300,2857730
612000,957809,1228803,2331578
613000,942826,1146724,3527907
614000,1371461,1117223,3227171
615000,1121764,1065198,4367802
616000,1519743,1373656,3719238
617000,1050861,1153922,3651200
618000,954048,1267441,2524571
619000,1064753,1373181,2249337
620000,968873,940646,2287926
621000,948440,1024389,1786314
622000,946801,1060788,2064549
623000,950357,2109945,2546874
624000,1094241,1382561,2454574
625000,1345697,1175184,3337289
626000,1368773,2123066,2638256
627000,1020973,2041907,2900758
628000,1113016,1273105,3711264
629000,1124527,1201029,3637718
630000,1214727,1742448,2966711
631000,1279816,1019660,3419255
632000,1296167,1293492,1957806
633000,2326605,1232531,1783407
634000,1832395,962418,1976147
635000,1010088,937332,3694615
636000,1062662,967016,2033458
637000,987612,1100064,1759517
638000,988426,945717,1723074
639000,962414,993458,3659633
640000,1946262,1136230,3202925
641000,1665654,1078014,1925136
642000,965936,984404,2108257
643000,944972,1030989,2020567
644000,983512,1124893,1678743
645000,1326854,952977,2051051
646000,967924,959377,1843451
647000,951157,937972,2296834
648000,1577051,960601,2011984
649000,2040293,1195160,2767858
650000,1115580,1197290,1962020
651000,1462845,2019584,1889848
652000,1302213,2257953,2282467
653000,1023610,1060464,2105741
654000,1048781,1119993,2445146
655000,1394093,1018131,1775060
656000,2485767,1045092,2327447
657000,1235530,1505595,1818495
658000,1670599,1241890,1945159
659000,2037855,953329,1749809
660000,1730784,1438739,1711310
661000,1700468,1046248,1730024
662000,1738365,959534,2634627
663000,1618544,951035,1784298
664000,987609,945242,1830973
665000,953537,931625,2022167
666000,1024396,940676,2376286
667000,990388,1054595,1748497
668000,1094811,1356691,1970079
669000,2053649,960891,1664655
670000,1478838,1005758,2069821
671000,1081938,1048378,2415441
672000,954639,976706,1850177
673000,945661,969051,1886336
674000,1103908,952839,1721380
675000,1546103,934831,1718966
676000,1826406,1102868,2138736
677000,1067482,989364,1678152
678000,1024367,1204170,2013707
679000,1131996,1341204,2389733
680000,1020972,1944123,1921796
681000,1494256,1977833,2257603
682000,1295814,1849255,2185562
683000,1306000,2142082,1683722
684000,1246557,1584937,1680825
685000,967853,1169758,1731381
686000,990544,1317891,1981784
687000,1109603,1503771,2205718
688000,1014038,1022809,2665166
689000,1028002,1030541,1820176
690000,1087301,1092534,1691859
691000,1118534,980322,2970745
692000,1034623,937184,2011688
693000,2070765,1377790,1645082
694000,1491640,968423,1675624
695000,989210,951459,2998165
696000,1044077,993555,3008322
697000,999193,937934,1910694
698000,947234,1029463,2036093
699000,983788,970899,1644892
700000,969448,2006041,2069683
701000,1795729,1542813,1681460
702000,1843885,953459,2493089
703000,1030472,1102423,1926018
704000,1136482,1030577,1921249
705000,1053330,983464,2116398
706000,1331596,1112942,2107173
707000,1007409,1931007,1763108
708000,1290469,2265963,1634510
709000,2783708,1689518,1704829
710000,1237815,1088993,3197516
711000,1029509,1349347,2175986
712000,1100055,1030917,1725722
713000,1045855,965879,1734558
714000,984364,1676860,2552281
715000,990468,1950300,1692424
716000,1178286,940720,1975535
717000,1016430,981023,1733885
718000,951033,934851,1689641
719000,968364,942265,2668114
720000,945139,944418,3409352
721000,949356,963656,3696921
722000,960437,1638780,2024664
723000,1268206,2004302,1720867
724000,966588,1225794,1644250
725000,1306709,946421,1939543
726000,2092023,1009672,1823502
727000,1177915,968326,2131233
728000,947794,941931,1937620
729000,947025,958028,1837366
730000,1062620,1879819,2065719
731000,1269455,2059456,1682705
732000,1024357,1863141,1647648
733000,1679098,1052271,2361180
734000,2055276,1073119,2683623
735000,1066999,1168374,2166948
736000,1637864,1234065,1691872
737000,2188503,2545817,2837301
738000,1273465,1453263,2305915
739000,1718396,1032258,1702779
740000,1994621,966710,1712306
741000,1139519,940559,1685444
742000,1076333,931599,3198881
743000,977066,930492,2023015
744000,965243,1015557,1981483
745000,968914,2038423,1801671
746000,991801,1612733,2366392
747000,1801207,1006362,1692671
748000,1785752,973418,1676984
749000,985600,938954,1867503
750000,1025901,1001536,2476306
751000,965106,943476,2617861
752000,1124125,943391,3135739
753000,1048539,1902603,2042174
754000,985818,1742109,1753708
755000,1878234,1839650,2226964
756000,1947458,1068899,2859564
757000,1085677,1049575,2040611
758000,1142418,1755766,1887095
759000,1005939,1636327,1737281
760000,975565,2274292,3178539
761000,1359674,1212711,2278419
762000,2364720,1434960,1988293
763000,1089893,997484,1728566
764000,2022130,977685,2374669
765000,2249043,940984,2569134
766000,2337924,1526204,1749197
767000,2057694,2049945,1794637
768000,1193479,1057719,1779996
769000,1803812,1295581,2542373
770000,1897500,966093,2486028
771000,1979084,1057357,2087855
772000,2051798,994094,2585857
773000,1871035,940731,2323203
774000,1689711,1035618,2535692
775000,1688467,1447008,1735957
776000,1774488,943873,1668977
777000,1793871,932368,1633413
778000,1770103,931042,1914824
779000,2469938,935259,2166826
780000,2525115,989792,2434197
781000,1862415,1823027,2113864
782000,1796556,1374193,1782090
783000,1792803,2086451,2942921
784000,1908705,1901282,2624765
785000,1734482,1835135,1731052
786000,1694223,1210565,1704752
787000,1786354,1005042,2494023
788000,1774650,1113894,2729071
789000,1742734,1907482,2289093
790000,1777667,2176400,2016471
791000,1714497,1033512,2710468
792000,1581110,947080,2401621
793000,1653039,942818,1734038
794000,1901098,933295,2009302
795000,1800947,952378,1798959
796000,1928809,1028707,3343503
797000,2727303,1132399,1698887
798000,1853462,944708,1845171
799000,1780469,932587,1944528
800000,1685850,951122,1857678
801000,1771115,943185,2203459
802000,1827586,1159991,1712609
803000,1731737,947524,1852745
804000,1788018,929707,2090326
805000,1729848,937554,2875681
