,shortest_processing_first,earliest_deadline_first,smallest_slack
458000,503748,467972,845945
459000,502116,467873,883840
460000,522048,505530,885321
461000,473410,503239,846154
462000,470928,499551,899301
463000,470270,498445,869760
464000,468613,496285,869682
465000,467657,485925,874769
466000,468967,470720,886308
467000,516793,470284,902932
468000,508347,469265,878854
469000,500323,470242,894157
470000,501253,470133,847036
471000,499998,532957,846159
472000,499137,503584,845094
473000,498748,514928,908342
474000,500099,470318,916577
475000,498839,468812,868677
476000,534776,469364,854664
477000,524829,473086,1139538
478000,503797,483627,1768594
479000,500691,482022,1000798
480000,499185,470780,856691
481000,498375,564489,876941
482000,498710,502785,859890
483000,499439,693587,943575
484000,526090,813821,875172
485000,472215,779168,873594
486000,470179,822390,890970
487000,563037,574258,847740
488000,505344,533966,847043
489000,504422,505086,903203
490000,504490,501540,874759
491000,505109,500572,892898
492000,527534,500736,848055
493000,472175,499365,846103
494000,470872,526735,845853
495000,470923,471789,919476
496000,469237,504674,848091
497000,539984,504066,847506
498000,474000,499852,846653
499000,470468,499182,884783
500000,473715,546124,932492
501000,469693,471682,885414
502000,470622,512177,879596
503000,559579,469133,881639
504000,532474,468611,901214
505000,475549,469226,848901
506000,471048,491538,905864
507000,568123,506746,878451
508000,604313,500093,874723
509000,641924,500663,889270
510000,786613,534328,847730
511000,890675,471866,956622
512000,554799,473747,986803
513000,477797,470516,905308
514000,516857,470207,1033057
515000,547048,469291,1251925
516000,508165,469598,1062686
517000,502364,606482,928224
518000,503068,471039,894802
519000,501969,509610,893572
520000,500735,467568,892325
521000,502268,468501,878179
522000,517906,467384,925232
523000,473633,505099,893965
524000,470402,466704,891128
525000,521990,469401,893191
526000,507335,468637,897593
527000,504552,564944,919779
528000,503255,503198,901473
529000,501330,497307,894516
530000,523867,499474,898826
531000,471519,498649,897971
532000,470053,501295,894243
533000,469244,500584,925128
534000,508398,499662,895913
535000,518927,513710,897342
536000,509120,471386,889934
537000,505030,548757,892966
538000,521399,595623,891465
539000,472807,473042,915194
540000,470407,471178,867344
541000,470067,468025,867631
542000,469811,472386,867904
543000,467970,530831,866522
544000,468690,498377,914409
545000,502019,476133,892006
546000,533355,496166,891887
547000,490828,603750,887379
548000,470237,579333,896201
549000,469063,643226,878142
550000,468616,738178,1277343
551000,532727,715060,1320853
552000,467958,496743,977632
553000,508956,486921,871311
554000,469961,481343,868939
555000,536649,483232,932109
556000,505122,567849,899716
557000,504197,518784,895746
558000,501948,511228,893971
559000,501520,511495,893967
560000,502353,511222,922561
561000,500686,510360,896953
562000,501422,513823,892691
563000,513897,511889,891674
564000,470913,514903,893476
565000,495278,542701,895685
566000,521768,512473,921009
567000,537327,511883,893220
568000,483626,512322,888646
569000,487242,510665,894660
570000,474772,509077,892641
571000,516180,508928,923712
572000,477774,510278,904230
573000,569152,513726,899277
574000,699464,508842,900494
575000,1076607,538368,896815
576000,747337,515568,897325
577000,486053,512710,926694
578000,473214,509659,900247
579000,472669,510431,892806
580000,472438,517004,892208
581000,471108,509938,892628
582000,469347,507584,920531
583000,468542,508304,894664
584000,532905,510327,903003
585000,531527,541915,879633
586000,470891,512040,972264
587000,471459,510264,1263267
588000,469359,517523,1340440
589000,470830,508251,903607
590000,469776,508389,894356
591000,470232,509426,903505
592000,469335,513673,891803
593000,512564,508642,928462
594000,516728,537744,894977
595000,508718,510912,898847
596000,505654,514741,892665
597000,503971,506237,890771
598000,511465,508270,917182
599000,475353,505584,901932
600000,470871,506404,892705
601000,510368,505942,890920
602000,470467,509129,891191
603000,470692,505256,890690
604000,505917,544095,926677
605000,506508,515564,894841
606000,502310,514512,891807
607000,502279,502894,890676
608000,502959,495598,892929
609000,505990,482461,920742
610000,501740,485563,968568
611000,503442,498183,1045640
612000,500504,645318,953073
613000,496334,774319,924960
614000,548505,852074,904335
615000,527290,629443,961481
616000,472477,486371,907253
617000,511721,484378,954835
618000,470600,492097,902484
619000,470239,482128,884827
620000,469424,480410,1018775
621000,469109,480638,900948
622000,469983,481357,1109799
623000,471356,560293,1511239
624000,469432,516525,939358
625000,559460,510080,997789
626000,473184,515193,882933
627000,471665,511359,849482
628000,471154,512253,903168
629000,470061,508175,903888
630000,469939,510345,884738
631000,503362,512172,879319
632000,470798,538955,875785
633000,475265,515127,869836
634000,572065,514122,889364
635000,608021,511285,846988
636000,476672,510967,907076
637000,474671,509432,882017
638000,528072,511218,955346
639000,754964,509386,846643
640000,813104,509540,847486
641000,794004,510955,846098
642000,645096,539391,911239
643000,590696,514296,890532
644000,506059,512480,846101
645000,535386,509280,846464
646000,513949,509592,844874
647000,510543,509140,877553
648000,470398,510304,905037
649000,528116,511999,875148
650000,502221,509445,876497
651000,499720,507850,874833
652000,499516,539763,888656
653000,501691,512856,902149
654000,499870,510952,874085
655000,512551,511038,873065
656000,471864,511711,995074
657000,472003,513664,962351
658000,469668,510231,851628
659000,523809,508347,1274265
660000,505325,511795,1338774
661000,503293,510436,920611
662000,506196,545876,854670
663000,505698,512576,893333
664000,471567,513499,896340
665000,470867,516500,848032
666000,470390,509768,847795
667000,469277,507389,845318
668000,469840,512601,845166
669000,511866,510614,1004437
670000,508970,512043,850523
671000,533968,576265,847310
672000,476020,537973,847704
673000,470323,514642,888002
674000,469019,513493,846428
675000,470109,552118,908110
676000,469301,651706,883681
677000,469410,699024,881333
678000,468791,723434,891040
679000,469108,517561,881865
680000,571388,580375,844918
681000,503979,513478,903762
682000,502733,513692,877459
683000,502102,510585,874908
684000,501091,512277,872901
685000,500221,508097,872628
686000,499174,505919,898692
687000,536362,513598,894017
688000,473500,510210,847213
689000,470616,537472,847454
690000,537691,510156,847029
691000,502920,483407,844737
692000,504235,480650,941775
693000,501201,479162,875446
694000,500051,479731,855927
695000,571201,483684,946681
696000,471844,479143,1165729
697000,471208,480322,1728252
698000,474651,478766,865735
699000,552859,480603,893359
700000,526615,537329,847071
701000,508012,512467,847022
702000,509340,508290,914557
703000,562776,513240,885666
704000,658972,510714,888056
705000,800864,508042,849251
706000,847465,507990,917412
707000,678774,508400,847621
708000,511953,510369,938580
709000,517375,507646,847664
710000,474297,538889,845768
711000,472292,516117,845112
712000,470550,511895,843179
713000,469635,510063,887816
714000,470024,511417,903647
